lambda1,lambda2,loss
0.4520353656360243,0.12689610031679222,2.5762883337908744
0.4520353656360243,0.17433288221999882,2.6768244550011904
0.4520353656360243,0.2395026619987486,2.787191962762041
0.4520353656360243,0.32903445623126676,2.896143673568697
0.4520353656360243,0.4520353656360243,2.998308945287234
0.4520353656360243,0.6210169418915616,3.0900276862962346
0.4520353656360243,0.8531678524172805,3.169573887116745
0.4520353656360243,1.1721022975334805,3.2368022626367647
0.4520353656360243,1.6102620275609392,3.2925354806130143
0.4520353656360243,2.212216291070448,3.3380311243218466
0.4520353656360243,3.039195382313198,3.3746551207947943
0.4520353656360243,4.175318936560401,3.4037342268837634
0.4520353656360243,5.736152510448681,3.426507580780471
0.4520353656360243,7.880462815669913,3.4441084915116362
0.4520353656360243,10.82636733874054,3.457548895904573
0.4520353656360243,14.873521072935118,3.467705678174833
0.4520353656360243,20.433597178569418,3.4753147966331426
0.4520353656360243,28.072162039411758,3.4809757254079137
0.4520353656360243,38.56620421163472,3.4851643615674135
0.4520353656360243,52.98316906283707,3.488250664238739
0.4520353656360243,72.78953843983146,3.4905175366655294
0.4520353656360243,100.0,3.492178590725981
0.6210169418915616,0.01,2.2474295372282245
0.6210169418915616,0.01373823795883263,2.261345555099364
0.6210169418915616,0.018873918221350976,2.2806165758976165
0.6210169418915616,0.02592943797404667,2.301824216623018
0.6210169418915616,0.035622478902624426,2.3409748149562484
0.6210169418915616,0.04893900918477494,2.3873584569184145
0.6210169418915616,0.06723357536499334,2.4443191292146675
0.6210169418915616,0.09236708571873861,2.5087662095837855
0.6210169418915616,0.12689610031679222,2.582852425285105
0.6210169418915616,0.17433288221999882,2.6825105850864497
0.6210169418915616,0.2395026619987486,2.792377992727284
0.6210169418915616,0.32903445623126676,2.900640225674819
0.6210169418915616,0.4520353656360243,3.0019545342770417
0.6210169418915616,0.6210169418915616,3.0927175208449014
0.6210169418915616,0.8531678524172805,3.171261370735544
0.6210169418915616,1.1721022975334805,3.2374902092240463
0.6210169418915616,1.6102620275609392,3.2922714650078158
0.6210169418915616,2.212216291070448,3.3368987221689514
0.6210169418915616,3.039195382313198,3.3727600655197136
0.6210169418915616,4.175318936560401,3.4011924163047573
0.6210169418915616,5.736152510448681,3.4234340416072135
0.6210169418915616,7.880462815669913,3.4406092357026323
0.6210169418915616,10.82636733874054,3.4537161943524515
0.6210169418915616,14.873521072935118,3.4636163647396288
0.6210169418915616,20.433597178569418,3.4710307124104745
0.6210169418915616,28.072162039411758,3.4765453740573
0.6210169418915616,38.56620421163472,3.4806250521574826
0.6210169418915616,52.98316906283707,3.483630680355181
0.6210169418915616,72.78953843983146,3.485838089372218
0.6210169418915616,100.0,3.4874554606528414
0.8531678524172805,0.01,2.2874012352043986
0.8531678524172805,0.01373823795883263,2.2985635799128645
0.8531678524172805,0.018873918221350976,2.311643693312994
0.8531678524172805,0.02592943797404667,2.334005996313225
0.8531678524172805,0.035622478902624426,2.368888341227388
0.8531678524172805,0.04893900918477494,2.4094849321153466
0.8531678524172805,0.06723357536499334,2.457562177237592
0.8531678524172805,0.09236708571873861,2.518636443824718
0.8531678524172805,0.12689610031679222,2.5927600253678276
0.8531678524172805,0.17433288221999882,2.6913358118735786
0.8531678524172805,0.2395026619987486,2.800478787498179
0.8531678524172805,0.32903445623126676,2.9077542996255854
0.8531678524172805,0.4520353656360243,3.0078793205788052
0.8531678524172805,0.6210169418915616,3.0973075278214064
0.8531678524172805,0.8531678524172805,3.174463538197444
0.8531678524172805,1.1721022975334805,3.2393169901144083
0.8531678524172805,1.6102620275609392,3.2927936696057287
0.8531678524172805,2.212216291070448,3.336232729407956
0.8531678524172805,3.039195382313198,3.371051893695139
0.8531678524172805,4.175318936560401,3.3986011956053757
0.8531678524172805,5.736152510448681,3.4201172640053237
0.8531678524172805,7.880462815669913,3.4367118021841874
0.8531678524172805,10.82636733874054,3.4493640925925306
0.8531678524172805,14.873521072935118,3.458914434641629
0.8531678524172805,20.433597178569418,3.4660632991021716
0.8531678524172805,28.072162039411758,3.471378612027091
0.8531678524172805,38.56620421163472,3.4753098016862083
0.8531678524172805,52.98316906283707,3.478205492518599
0.8531678524172805,72.78953843983146,3.4803318723316017
0.8531678524172805,100.0,3.481889719980876
1.1721022975334805,0.01,2.334440928837316
1.1721022975334805,0.01373823795883263,2.3365314104919195
1.1721022975334805,0.018873918221350976,2.3453676679526594
1.1721022975334805,0.02592943797404667,2.362834965783444
1.1721022975334805,0.035622478902624426,2.388631646516981
1.1721022975334805,0.04893900918477494,2.424900461300138
1.1721022975334805,0.06723357536499334,2.4730180704172535
1.1721022975334805,0.09236708571873861,2.5345223902092466
1.1721022975334805,0.12689610031679222,2.6085036400734154
1.1721022975334805,0.17433288221999882,2.7052755181115296
1.1721022975334805,0.2395026619987486,2.8134195549429024
1.1721022975334805,0.32903445623126676,2.919254083763417
1.1721022975334805,0.4520353656360243,3.0177125679523997
1.1721022975334805,0.6210169418915616,3.105292492649377
1.1721022975334805,0.8531678524172805,3.1805284885073624
1.1721022975334805,1.1721022975334805,3.2434913484121872
1.1721022975334805,1.6102620275609392,3.2951812793635433
1.1721022975334805,2.212216291070448,3.336997081509105
1.1721022975334805,3.039195382313198,3.3703949441242287
1.1721022975334805,4.175318936560401,3.396741437223426
1.1721022975334805,5.736152510448681,3.417270051454748
1.1721022975334805,7.880462815669913,3.4330748047694355
1.1721022975334805,10.82636733874054,3.44510893007856
1.1721022975334805,14.873521072935118,3.454183786678702
