n_hidden,batch_size,epochs,dropout,accuracy,F1_score,precision,recall
5,1166,5,0.25,0.5958255231380463,0.294047619047619,0.3864077669902913,0.2470897031177952
5,1166,5,0.5,0.5248853504657746,0.25051873413942377,0.39805825242718446,0.1828564616118264
5,1166,5,0.75,0.5069182932376861,0.2784794714900375,0.4135922330097087,0.2739991003148898
5,1166,10,0.25,0.6225670278072357,0.4184479246243952,0.4776699029126214,0.4183265470819119
5,1166,10,0.5,0.3988444983959198,0.37754971720488956,0.5611650485436893,0.289211014443263
5,1166,10,0.75,0.4641429126262665,0.45087011548805567,0.6815533980582524,0.339357390186816
5,1166,20,0.25,0.5867466270923615,0.4312995798639017,0.6,0.35102247638801065
5,1166,20,0.5,0.46142473816871643,0.4757124661986253,0.7533980582524272,0.34845610596683557
5,1166,20,0.75,0.5472616493701935,0.36299504586651343,0.48543689320388345,0.36775055302765697
10,1,5,0.25,0.9742672682586845,0.9710872927683777,0.978640776699029,0.963783218209764
10,1,5,0.5,0.9742636000146729,0.9709300689461096,0.9728155339805825,0.9690627333831218
10,1,5,0.75,0.9434099996331756,0.9329067041844125,0.8990291262135923,0.9714032418372847
10,1,10,0.25,0.9897105755474854,0.9883773381650431,0.9902912621359224,0.9865183579032809
10,1,10,0.5,0.9854187300539232,0.9835458790745004,0.9864077669902912,0.9808202731541418
10,1,10,0.75,0.9734125674039837,0.9694172807090332,0.9553398058252427,0.9841176583677786
10,1,20,0.25,0.9948534536517369,0.9941933821731308,0.996116504854369,0.9923256516945838
10,1,20,0.5,0.9897105755474854,0.9883864950391885,0.9922330097087378,0.9846491893359991
10,1,20,0.75,0.9854223982979347,0.9834998358425965,0.9844660194174757,0.9825429424943988
10,10,5,0.25,0.9605406935446498,0.9549081036119743,0.945631067961165,0.9645200877553817
10,10,5,0.5,0.9545247734662159,0.9467103719691391,0.9223300970873787,0.9737494600476039
10,10,5,0.75,0.8687135455023363,0.8077430520666891,0.7184466019417476,0.9748751061280518
10,10,10,0.25,0.9837019886861548,0.9816509917933878,0.9864077669902912,0.9770297961505682
